user,text,favorite_count,retweet_count,created_at
shakira,Nos vemos esta noche en la final de la @CopaAmerica 🏆🙌🏼 ¡Que nervios!,0,0,
shakira,"RT @SonyMusicLatin: Enter here for a chance to win this exclusive soccer ball, created to celebrate @shakira's special performance at the @…",0,0,
shakira,Eso Colombia! tenemos un gran equipo! Nos vemos este domingo en la final de la @CopaAmerica! @FCFSeleccionCol ❤️🇨🇴,0,0,
shakira,Vamos vamos vamos mi gente!!! 🇨🇴 #CopaAmerica,0,0,
shakira,"RT @CopaAmerica: Shakira, Shakira 🎶

La estrella colombiana será la artista oficial de la Gran Final de la CONMEBOL Copa América USA 2024™️…",0,0,
shakira,"Celebrando la victoria de ayer! Vamos
mi selección! 🇨🇴 https://t.co/LufYdM6R8y",0,0,
shakira,"Ya tengo mi camiseta firmada!
@FCFSeleccionCol 🇨🇴🙌🏼 #CopaAmerica https://t.co/hjW2qpatIy",0,0,
shakira,"Hope everyone had the best pride month!Forever supporting equality, freedom to love and friendship! 🏳️‍🌈❤️ https://t.co/eCO2T4WUP9",0,0,
shakira,Siempre con ustedes! ❤️🏳️‍🌈😍 https://t.co/AoVI5i8tqw,0,0,
shakira,Vamos Colombia!!!🇨🇴 #CopaAmerica,0,0,
shakira,Toda la suerte hoy para mi Colombia en la #CopaAmerica!,0,0,
shakira,"Hace 18 días llegué de urgencias a Barranquilla para acompañar a mi padre y luchar junto a él. Ayer, gracias al gran equipo humano y médico de la Clínica Iberoamerica, y a su increíble fortaleza, pude llevarlo de regreso a casa al lado de mi madre, quien nunca suelta su mano. La… https://t.co/KSGYe9WfUR",0,0,
shakira,"RT @RollingStone: Shakira Reveals How She Got Her ‘Swag’ and ‘Sexy Back’ After Her Split From Gerard Piqué

""When you leave a relationship…",0,0,
shakira,"RT @RollingStone: Our Summer 2024 cover star @Shakira went through hell. Now she's back on top.  

The one-of-one superstar faced challenge…",0,0,
shakira,RT @Spotify: The queens have arrived 👑 @karolg and @shakira’s TQG has joined the #BillionsClub https://t.co/avNpctIBgJ https://t.co/OgEznLS…,0,0,
shakira,Cute outfit! 🐺💎 https://t.co/4MiyLHSkmg https://t.co/p68qKaQNqt,0,0,
shakira,Felicidades amigo! @carlosvives ha sido elegido como persona del año en los @LatinGRAMMYs ❤️,0,0,
shakira,Felicidades @maluma! Nuestra primera colaboración alcanzó un billón de streams en @spotify! 🔥🎉,0,0,
shakira,Gracias @Patricia_FPD @MariaEmmaMejiaV por liderar este proyecto que empezamos a soñar en 2017 https://t.co/FEPyvWWcrQ,0,0,
shakira,"Hoy inauguramos nuestro colegio número 19 @fpiesdescalzos en Villas de Aranjuez, Cartagena donde 900 niños podrán acceder por fin a una educación de calidad! Muy agradecida con todos los que han hecho esto posible para nuestros niños y niñas de Colombia. Seguimos y juntos vamos… https://t.co/RzC9QVlEDN https://t.co/wuE6RKLJCt",0,0,
shakira,Gracias por todo el cariño que le han dado a #LMYNL tenemos varios #1 en las listas de @billboard @billboardlatin https://t.co/dxIZg5fKuY,0,0,
shakira,Ayer en Nueva York anunciamos que PUNTERÍA será el tema oficial de la cobertura de TelevisaUnivision en la Copa America! ❤️‍🔥⚽️ https://t.co/gXk1BZfoTw,0,0,
shakira,"Hoy quiero celebrar a todas las mujeres que dan y nutren la vida, porque todas,  con o sin hijos, sabemos cuidar y luchar por los que dependen de nosotros. 

Y a Milan y Sasha, los dos soles de mi vida, gracias por  iluminarla y acabar de completarme. 
❤️🌸 https://t.co/em2fJ8lgkv",0,0,
shakira,Check out my last looks for the Met Gala 💋 @voguemagazine https://t.co/aXaPXxRuvY,0,0,
shakira,Met Gala after party ✨ https://t.co/SPzOtxiqfX,0,0,
shakira,🌹🌹🌹 https://t.co/EhrdF1FGOC,0,0,
shakira,Hello New York! https://t.co/4SFuMeVvVS,0,0,
shakira,Coachella dreaming! Can hardly believe the time has come following this epic moment! Tix for the US / CA #LMYNLWorldTour shows go on general sale TODAY at https://t.co/L1oG7IDSWB. Can’t wait to see you all in November! https://t.co/exx99Q7OqN,0,0,
shakira,"Los banners! Una buena razón para ver El Clásico! 😜

The banners! A good enough reason to watch El Clásico. https://t.co/NPuK2sDzT8",0,0,
shakira,Una mañana con @lelepons 💋 https://t.co/3CMCO4Lnln,0,0,
shakira,"Auuuuuuuuu! 
The Wolfpack really showed up! Im happy to announce that due to the overwhelming demand, we are adding additional dates in Palm Springs, Miami and NY! I’m so excited to go on tour and celebrate with all of you again! Today is the final day to register for access to… https://t.co/2c5MiEq6Rk https://t.co/XrPSjOW9Xd",0,0,
shakira,"I’m so thrilled to announce the first dates for my LAS MUJERES YA NO LLORAN WORLD TOUR, a celebration for my wolfpack! 

The first leg of the tour will be across North America, the only chance to experience the show in a more intimate way! International dates to be announced… https://t.co/Fow1PXAbXE https://t.co/ItMSN6gZKm",0,0,
shakira,Minutes before my pop up performance and tour announcement in Coachella 🥳 https://t.co/WvoXPvxBEW,0,0,
shakira,Están listos??? Countdown to the first announcement of #LMYNLWT dates starts right now! See you in 24hrs! Sign up to the Wolfpack at https://t.co/zfsHUjXKBv to be one of the first to receive all the details! 🐺⏰ https://t.co/RMGWxOkACF,0,0,
shakira,Thank you @coachella for a great time! https://t.co/AaTmQarmtj,0,0,
shakira,So stoked to finally announce that LAS MUJERES YA NO LLORAN WORLD TOUR is happening! Can’t wait to be back on stage partying and celebrating with my wolfpack! 🐺 Dates coming up soon - register for info / pre-sale access now! Auuuuuuuuuuuuuu! https://t.co/d44sH7UdoW #LMYNLWT https://t.co/gYZUbcOn2m,0,0,
shakira,Auuuuuuuuuuuuuu,0,0,
shakira,La loba se viene… 🐺👀 https://t.co/D4ZcymLQr9,0,0,
shakira,"RT @nilerodgers: Check out my convo with the amazing.... @SHAKIRA

#DeepHiddenMeaningRadio. Now available on @ApplePodcasts. 

https://t.co…",0,0,
shakira,"Mi pequeño homenaje con todo mi cariño a Selena, una de las más bellas y grandes artistas de todos los tiempos! ❤️ https://t.co/nFxksfdzQn https://t.co/SS4PS5auAt",0,0,
shakira,RT @nilerodgers: I’ll be talking with the great @Shakira about songwriting and the healing power of music on the new episode of #DeepHidden…,0,0,
shakira,My kids have laughed so hard with this interview!  Thanks @seanseaevans and the #HotOnes team for a very spicy evening! https://t.co/Un5OAjBZq5,0,0,
shakira,Como un cohete #LMYNL https://t.co/Sm9aQB84s7,0,0,
shakira,Thank you NY for a night to remember! https://t.co/cg2OXRgzU5,0,0,
shakira,Thank you so much for the support @iHeartRadio! Love you! @bizarrap https://t.co/VwP8BtPXIB,0,0,
shakira,I’m so honored to see LAS MUJERES YA NO LLORAN in @spotify’s global Top 10! Thank you for the love you’ve shown me and the amazing reception you’ve given this album. 💋 #LMYNL https://t.co/I2hgYqf0yk,0,0,
shakira,"Thank you @Allure_magazine for such a fun shoot! A pleasure working with all of you and our amazing colombian photographer, Emmanuel Monsalve. Read the cover story here https://t.co/hEvanykcbo https://t.co/6uZbE12qFu",0,0,
shakira,Happy Easter from Toby and his momma! https://t.co/HPfVQjcyYQ,0,0,
shakira,"RT @VIX: La fiesta que paralizó Times Square y a todos los latinos llega a #ViX MAÑANA.

@shakira  nos da una muestra de su último álbum: L…",0,0,
shakira,💋❤️ https://t.co/gLNZShgOxl,0,0,
shakira,LMYNL Ruby Edition ❤️ https://t.co/b4TN3waQra https://t.co/I57VCqi6FR,0,0,
shakira,"What a party last night at Times Square! 40,000 of you! Thanks to my wolfpack for always showing up! Auuuuuuuuuu ❤️💋🐺 #ShakiraTSX #LMYNL https://t.co/WXknahMlE9 https://t.co/NmpsS8aAlp",0,0,
shakira,"Get the exclusive Ruby vinyl edition of the new album, only @target ❤️ https://t.co/b4TN3waQra https://t.co/HtRAGRmWEw",0,0,
shakira,RT @MayraAvinaa: 💃💃💃👑👑👑💗💗💗🎉🎉🎉💿💿💿 #lasmujeresyanolloran   #shakira #shakiravinyl https://t.co/ntSyJqHjS9,0,0,
shakira,"Get the exclusive Sapphire vinyl edition of the new album, only on @amazon 💙#LMYNL https://t.co/VzVWDbozYD https://t.co/Ko6jCLxLjI",0,0,
shakira,"What an insane experience!! 40,000 of you in Times Square, I have goosebumps! Thank you for such an amazing welcome and for coming to party with me NY! #ShakiraTSX #LMYNL https://t.co/0Y07e3osOR https://t.co/xfjNsQeVMo",0,0,
shakira,"The TSX Times Square performance starts very soon - and you can see it live online at https://t.co/asYVxNarA0 

Let us know where you’re watching from!

#ShakiraTSX #LMYNL",0,0,
shakira,"Nueva York! Nos vemos esta noche en Times Square a las 7:15 pm! 🥳🥳🥳 para el resto del mundo podrán ver la transmisión en directo completamente en vivo aquí https://t.co/iymTq2kDir

New York! Come join me in Times Square for a surprise performance at 7:15pm. And you can watch… https://t.co/MDxApdQkjs https://t.co/u0zSKLBGQi",0,0,
shakira,"RT @FallonTonight: .@shakira’s telling the truth, her hips don’t lie. #FallonTonight https://t.co/Pawp6PxH4x",0,0,
